2022-08-25 20:55:19.042  INFO [,,] 6788 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 17.0.3.1 on Sarvesh with PID 6788 (C:\Users\Dell\Desktop\pmsclientangular\Pension-Management-portal\target\classes started by Dell in C:\Users\Dell\Desktop\pmsclientangular\Pension-Management-portal)
2022-08-25 20:55:19.052  INFO [,,] 6788 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-08-25 20:55:19.228  INFO [,,] 6788 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-25 20:55:19.229  INFO [,,] 6788 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-25 20:55:25.227  INFO [,,] 6788 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-25 20:55:25.293  INFO [,,] 6788 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 38 ms. Found 0 JPA repository interfaces.
2022-08-25 20:55:27.374  INFO [,,] 6788 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=60f09d21-bb00-35c1-bf24-fae06d3cab68
2022-08-25 20:55:30.518  INFO [,,] 6788 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8082 (http)
2022-08-25 20:55:30.544  INFO [,,] 6788 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-25 20:55:30.545  INFO [,,] 6788 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-25 20:55:30.806  INFO [,,] 6788 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-25 20:55:30.807  INFO [,,] 6788 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 11575 ms
2022-08-25 20:55:31.268  INFO [,,] 6788 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-25 20:55:31.989  INFO [,,] 6788 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-25 20:55:32.035  INFO [,,] 6788 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:0465b633-9b1e-41a0-a244-9172a2c126bd'
