2022-08-25 20:34:17.465  INFO [authorizationService,,] 17312 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Starting AuthorizationMicroserviceApplication using Java 17.0.3.1 on Sarvesh with PID 17312 (C:\Users\Dell\Desktop\pmsclientangular\authorization-microservice\target\classes started by Dell in C:\Users\Dell\Desktop\pmsclientangular\authorization-microservice)
2022-08-25 20:34:17.482  INFO [authorizationService,,] 17312 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-08-25 20:34:17.620  INFO [authorizationService,,] 17312 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-25 20:34:17.621  INFO [authorizationService,,] 17312 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-25 20:34:20.101  INFO [authorizationService,,] 17312 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-25 20:34:20.293  INFO [authorizationService,,] 17312 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 122 ms. Found 1 JPA repository interfaces.
2022-08-25 20:34:21.279  INFO [authorizationService,,] 17312 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=42971748-5b02-3186-83df-d82d61b4e2f8
2022-08-25 20:34:23.299  INFO [authorizationService,,] 17312 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2022-08-25 20:34:23.326  INFO [authorizationService,,] 17312 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-25 20:34:23.326  INFO [authorizationService,,] 17312 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-25 20:34:23.593  INFO [authorizationService,,] 17312 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-25 20:34:23.594  INFO [authorizationService,,] 17312 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 5967 ms
2022-08-25 20:34:24.131  INFO [authorizationService,,] 17312 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-25 20:34:24.559  INFO [authorizationService,,] 17312 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-25 20:34:24.569  INFO [authorizationService,,] 17312 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-08-25 20:34:25.389  INFO [authorizationService,,] 17312 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-25 20:34:25.533  INFO [authorizationService,,] 17312 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-25 20:34:26.024  INFO [authorizationService,,] 17312 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-25 20:34:26.559  INFO [authorizationService,,] 17312 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-25 20:34:28.105  INFO [authorizationService,,] 17312 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-25 20:34:28.127  INFO [authorizationService,,] 17312 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-25 20:34:32.073  INFO [authorizationService,,] 17312 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-08-25 20:34:32.715  WARN [authorizationService,,] 17312 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
