2022-08-25 20:55:40.994  INFO [ProcessPensionService,,] 10800 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : Starting ProcessPensionMicroserviceApplication using Java 17.0.3.1 on Sarvesh with PID 10800 (C:\Users\Dell\Desktop\pmsclientangular\process-pension-microservice\target\classes started by Dell in C:\Users\Dell\Desktop\pmsclientangular\process-pension-microservice)
2022-08-25 20:55:41.005  INFO [ProcessPensionService,,] 10800 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-08-25 20:55:41.161  INFO [ProcessPensionService,,] 10800 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-25 20:55:41.165  INFO [ProcessPensionService,,] 10800 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-25 20:55:44.609  INFO [ProcessPensionService,,] 10800 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-25 20:55:44.700  INFO [ProcessPensionService,,] 10800 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 78 ms. Found 1 JPA repository interfaces.
2022-08-25 20:55:45.354  INFO [ProcessPensionService,,] 10800 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=37ff6cf9-ada6-3ec0-ba03-548309bd2dd2
2022-08-25 20:55:48.602  INFO [ProcessPensionService,,] 10800 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8083 (http)
2022-08-25 20:55:48.648  INFO [ProcessPensionService,,] 10800 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-25 20:55:48.649  INFO [ProcessPensionService,,] 10800 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-25 20:55:49.092  INFO [ProcessPensionService,,] 10800 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-25 20:55:49.092  INFO [ProcessPensionService,,] 10800 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 7926 ms
2022-08-25 20:55:49.470  INFO [ProcessPensionService,,] 10800 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-25 20:55:50.217  INFO [ProcessPensionService,,] 10800 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-25 20:55:50.231  INFO [ProcessPensionService,,] 10800 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-08-25 20:55:52.308  INFO [ProcessPensionService,,] 10800 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-25 20:55:52.475  INFO [ProcessPensionService,,] 10800 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-25 20:55:52.910  INFO [ProcessPensionService,,] 10800 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-25 20:55:53.426  INFO [ProcessPensionService,,] 10800 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-25 20:55:54.843  INFO [ProcessPensionService,,] 10800 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-25 20:55:54.861  INFO [ProcessPensionService,,] 10800 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-25 20:55:54.979  WARN [ProcessPensionService,,] 10800 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-08-25 20:55:55.937  WARN [ProcessPensionService,,] 10800 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-25 20:56:01.212  INFO [ProcessPensionService,,] 10800 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8083 (http) with context path ''
2022-08-25 20:56:01.455  INFO [ProcessPensionService,,] 10800 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-25 20:56:01.487  INFO [ProcessPensionService,,] 10800 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-25 20:56:01.501  INFO [ProcessPensionService,,] 10800 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-25 20:56:01.738  INFO [ProcessPensionService,,] 10800 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : Started ProcessPensionMicroserviceApplication in 23.697 seconds (JVM running for 27.019)
